Show,Couple,SourceID,Source
90210,Annie & Liam,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
7th Heaven,Matt & Heather,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Abbott Elementary,Janine & Gregory,3,https://collider.com/best-tv-will-they-wont-they-couples/
Abbott Elementary,Janine & Gregory,6,https://screenrant.com/best-will-they-wont-they-tv-storylines/
Agents of S.H.I.E.L.D.,Coulson & Melinda,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Agents of S.H.I.E.L.D.,Fitz & Simmons,2,https://collider.com/televisions-greatest-will-they-wont-they-romances/#clark-and-lana-from-smallville
Agents of S.H.I.E.L.D.,Fitz & Simmons,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Alias,Sydney & Vaughn,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Alias,Sydney & Vaughn,20,https://telltaletv.com/2017/02/greatest-will-they-wont-they-tv-couples-how-long/
Anne With An E,Anne & Gilbert,18,https://www.tvfanatic.com/slideshows/17-will-they-wont-they-couples-that-should/
Arrested Development,George Michael & Maeby,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Arrow,Oliver & Felicity,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Arrow,Oliver & Felicity,15,https://www.theyoungfolks.com/television/97270/will-they-or-wont-they-20-tv-couples/?amp=1
Awkward,Matty & Jenna,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Baby Daddy,Danny & Riley,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Battlestar Galactica,Kara & Lee,15,https://www.theyoungfolks.com/television/97270/will-they-or-wont-they-20-tv-couples/?amp=1
Better Call Saul,Jimmy & Kim,13,https://www.theringer.com/tv/2018/8/4/17649670/will-they-wont-they-tv-couples-test
"Beverly Hills, 90210",Donna & David,20,https://telltaletv.com/2017/02/greatest-will-they-wont-they-tv-couples-how-long/
"Beverly Hills, 90210",Dylan & Kelly,25,https://editorial.rottentomatoes.com/gallery/15-will-they-or-wont-they-tv-couples/
Bones,Booth & Brennan,1,https://movieweb.com/these-are-the-most-frustrating-will-they-or-wont-they-relationships-in-tv-shows/
Bones,Booth & Brennan,2,https://collider.com/televisions-greatest-will-they-wont-they-romances/#clark-and-lana-from-smallville
Bones,Booth & Brennan,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Bones,Booth & Brennan,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Bones,Booth & Brennan,9,https://punkee.com.au/will-they-wont-they-tv-couples/112421
Bones,Booth & Brennan,11,https://www.watchmojo.com/articles/top-10-will-they-won-t-they-tv-couples
Bones,Booth & Brennan,15,https://www.theyoungfolks.com/television/97270/will-they-or-wont-they-20-tv-couples/?amp=1
Bones,Booth & Brennan,16,https://ew.com/gallery/10-will-theywont-they-tv-couples/
Bones,Booth & Brennan,17,https://www.therichest.com/expensive-lifestyle/14-of-tvs-greatest-will-they-or-wont-they-couples/
Bones,Booth & Brennan,20,https://telltaletv.com/2017/02/greatest-will-they-wont-they-tv-couples-how-long/
Bones,Booth & Brennan,21,https://tvovermind.com/the-top-10-will-they-or-wont-they-tv-shows-a-closer-look/
Bones,Booth & Brennan,24,https://fangirlish.com/2021/01/07/keep-calm-trope-on-will-they-or-wont-they/
Bones,Booth & Brennan,25,https://editorial.rottentomatoes.com/gallery/15-will-they-or-wont-they-tv-couples/
Boy Meets World,Cory & Topanga,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Boy Meets World,Cory & Topanga,10,https://www.watchmojo.com/articles/top-10-will-they-or-won-t-they-sitcom-couples
Brooklyn Nine-Nine,Jake & Amy,2,https://collider.com/televisions-greatest-will-they-wont-they-romances/#clark-and-lana-from-smallville
Brooklyn Nine-Nine,Jake & Amy,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Brooklyn Nine-Nine,Jake & Amy,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Brooklyn Nine-Nine,Jake & Amy,22,https://www.shemazing.net/tv-couples-that-had-some-of-the-best-will-they-wont-they-storylines/
Buffy the Vampire Slayer,Buffy & Angel,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Buffy the Vampire Slayer,Buffy & Angel,15,https://www.theyoungfolks.com/television/97270/will-they-or-wont-they-20-tv-couples/?amp=1
Buffy the Vampire Slayer,Buffy & Angel,15,https://www.theyoungfolks.com/television/97270/will-they-or-wont-they-20-tv-couples/?amp=1
Buffy the Vampire Slayer,Buffy & Angel,20,https://telltaletv.com/2017/02/greatest-will-they-wont-they-tv-couples-how-long/
Buffy the Vampire Slayer,Buffy & Angel,25,https://editorial.rottentomatoes.com/gallery/15-will-they-or-wont-they-tv-couples/
Buffy the Vampire Slayer,Buffy & Spike,1,https://movieweb.com/these-are-the-most-frustrating-will-they-or-wont-they-relationships-in-tv-shows/
Buffy the Vampire Slayer,Buffy & Spike,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Buffy the Vampire Slayer,Buffy & Spike,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Buffy the Vampire Slayer,Buffy & Spike,9,https://punkee.com.au/will-they-wont-they-tv-couples/112421
Buffy the Vampire Slayer,Buffy & Spike,23,https://popculture.com/tv-shows/news/best-will-they-wont-they-tv-couples/
Buffy the Vampire Slayer,Rupert & Joyce,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Californication,Hank & Karen,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Castle,Castle & Beckett,1,https://movieweb.com/these-are-the-most-frustrating-will-they-or-wont-they-relationships-in-tv-shows/
Castle,Castle & Beckett,6,https://screenrant.com/best-will-they-wont-they-tv-storylines/
Castle,Castle & Beckett,7,https://www.buzzfeed.com/shylawatson/65-will-theywont-they-tv-couples-that-drove-you-insane
Castle,Castle & Beckett,8,https://www.ranker.com/list/best-will-they-or-wont-they-couples-in-tv-history/ranker-tv
Castle,Castle & Beckett,16,https://ew.com/gallery/10-will-theywont-they-tv-couples/
