Show,Year of Start,Couple,Mentions,AlreadyTogether,FirstKiss_Season,FirstKiss_Episode,MakeItOfficial_Season,MakeItOfficial_Episode,Exclude,Exclude_Why,IMDB_ID,Num_Seasons
The Office (US),2005,Jim & Pam,20,FALSE,2,22,4,1,FALSE,,tt0386676,9
New Girl,2011,Jess & Nick,17,FALSE,2,15,2,25,FALSE,,tt1826940,7
Cheers,1982,Diane & Sam,16,FALSE,1,22,1,22,FALSE,,tt0083399,11
Friends,1994,Rachel & Ross,16,FALSE,2,7,2,14,FALSE,,tt0108778,10
The X-Files,1993,Mulder & Scully,16,FALSE,7,4,7,17,FALSE,,tt0106179,11
Bones,2005,Booth & Brennan,13,FALSE,3,9,6,22,FALSE,,tt0460627,12
Gilmore Girls,2000,Lorelai & Luke,12,FALSE,4,22,4,22,FALSE,,tt0238784,7
Moonlighting,1985,David & Maddie,9,FALSE,2,15,3,14,FALSE,,tt0088571,5
Castle,2009,Castle & Beckett,8,FALSE,3,13,4,23,FALSE,,tt0083399,11
Frasier,1993,Daphne & Niles,7,FALSE,7,24,7,24,FALSE,,tt0106004,11
Gossip Girl,2007,Blair & Chuck,7,FALSE,1,7,2,25,FALSE,,tt0397442,6
Sex and the City,1998,Carrie & Mr. Big,7,FALSE,1,6,,,FALSE,,tt0159206,6
Grey's Anatomy,2005,Derek & Meredith,6,FALSE,1,1,2,27,TRUE,First Kiss in Season 1 Episode 1,,
How I Met Your Mother,2005,Barney & Robin,6,FALSE,3,16,4,24,FALSE,,tt0460649,9
Buffy the Vampire Slayer,1997,Buffy & Angel,5,FALSE,1,7,2,13,FALSE,,tt0118276,7
Buffy the Vampire Slayer,1997,Buffy & Spike,5,FALSE,6,7,,,FALSE,,tt0118276,7
Glee,2009,Finn & Rachel,5,FALSE,1,2,1,22,FALSE,,tt1327801,6
Law and Order: Special Victims Unit,1999,Elliot & Olivia,5,FALSE,999,999,,,TRUE,Haven't Kissed,,
Parks and Recreation,2009,Ben & Leslie,5,FALSE,3,14,3,14,FALSE,,tt1266020,7
Psych,2006,Juliet & Shawn,5,FALSE,5,9,5,9,FALSE,,tt0491738,8
Scrubs,2001,Elliot & J. D. ,5,FALSE,1,14,1,14,FALSE,,tt0285403,9
Superstore,2015,Amy & Jonah,5,FALSE,2,22,3,22,FALSE,,tt4477976,6
True Blood,2008,Eric & Sookie,5,FALSE,3,10,,,FALSE,,tt0844441,7
Brooklyn Nine-Nine,2013,Jake & Amy,4,FALSE,2,23,2,23,FALSE,,tt2467372,8
Chuck,2007,Chuck & Sarah,4,FALSE,1,9,3,13,FALSE,,tt0934814,5
Community,2009,Annie & Jeff,4,FALSE,1,23,,,FALSE,,tt1439629,6
Dawson's Creek,1998,Joey & Pacey,4,FALSE,3,17,3,23,FALSE,,tt0118300,6
Doctor Who,1963,The Doctor & Rose,4,FALSE,999,999,,,TRUE,Haven't Kissed,,
Downton Abbey,2010,Lady Mary & Matthew,4,FALSE,1,6,1,6,FALSE,,tt1606375,6
How I Met Your Mother,2005,Robin & Ted,4,FALSE,1,2,1,22,FALSE,,tt0460649,9
Orange Is the New Black,2013,Alex & Piper,4,FALSE,1,9,1,9,FALSE,,tt2372162,7
Smallville,2001,Clark & Lana,4,FALSE,2,22,7,3,FALSE,,tt0279600,10
The Mindy Project,2012,Danny & Mindy,4,FALSE,2,14,2,22,FALSE,,tt2211129,6
The Wonder Years,1988,Kevin & Winnie,4,FALSE,1,1,3,17,TRUE,First Kiss in Season 1 Episode 1,,
Veronica Mars,2004,Logan & Veronica,4,FALSE,1,18,3,1,FALSE,,tt0412253,4
Dawson's Creek,1998,Dawson & Joey,3,FALSE,2,1,2,1,FALSE,,tt0118300,6
House,2004,Cuddy & House,3,FALSE,5,6,6,22,FALSE,,tt0412142,8
Jane the Virgin,2014,Jane & Rafael,3,FALSE,1,6,1,6,FALSE,,tt3566726,5
My So-Called Life,1994,Angela & Jordan,3,FALSE,1,7,1,13,FALSE,,tt0108872,1
NCIS,2003,Anthony & Ziva,3,FALSE,11,2,,,FALSE,,tt0364845,21
New Girl,2011,Cece & Schmidt,3,FALSE,1,13,1,22,FALSE,,tt1826940,7
Remington Steele,1982,Laura & Remington,3,FALSE,1,3,,,FALSE,,tt0083470,5
The Vampire Diaries,2009,Damon & Elena,3,FALSE,2,22,7,4,FALSE,,tt1405406,8
Younger,2015,Charles & Liza,3,FALSE,2,12,5,7,FALSE,,tt3288518,7
Younger,2015,Josh & Liza,3,FALSE,1,2,1,4,FALSE,,tt3288518,7
Abbott Elementary,2021,Janine & Gregory,2,FALSE,2,16,,,FALSE,,tt14218830,3
Agents of S.H.I.E.L.D.,2013,Fitz & Simmons,2,FALSE,3,8,,,FALSE,,tt2364582,7
Alias,2001,Sydney & Vaughn,2,FALSE,2,13,2,13,FALSE,,tt0285333,5
Arrow,2012,Oliver & Felicity,2,FALSE,3,1,3,23,FALSE,,tt2193021,8
Boy Meets World,1993,Cory & Topanga,2,FALSE,1,4,3,1,FALSE,,tt0105958,7
